,PriceTrends_High,PriceTrends_HL
2015-03-31,-0.0058977272727272,0.0016107954545454
2015-04-30,-0.0052804532577903,-0.0066487252124645
2015-06-30,0.0092857142857142,0.0061064425770308
2015-07-31,0.0056444444444444,-0.003475
2015-08-31,-0.0019639889196675,0.0104903047091412
2015-09-30,0.0156685082872928,0.0053756906077348
2015-11-30,0.0041483516483516,0.0023983516483516
2015-12-31,0.0006410958904109,0.0038547945205479
2016-02-29,0.0164918032786885,0.0041338797814207
2016-03-31,-0.0095613079019073,-0.0166975476839237
2016-05-31,0.0187560975609756,-0.0009674796747967
2016-06-30,0.0042054054054054,0.0016378378378378
2016-08-31,-0.0081045576407506,-0.0023002680965147
2016-09-30,4.545454545454549e-05,0.0029999999999999
2016-10-31,-0.0027866666666666,-0.0033226666666666
2016-11-30,-0.0001542553191489,-0.0062099582369208
2017-01-31,0.015395778364116,0.0059577836411609
2017-02-28,0.005928947368421,-0.0052078947368421
2017-03-31,0.0023429319371727,0.0031230366492146
2017-05-31,0.0094296874999999,0.0012005208333333
2017-06-30,0.0010025906735751,0.0019018154797766
2017-07-31,5.6555269922879366e-05,0.0047172236503856
2017-08-31,0.002776923076923,-0.0004179487179487
2017-10-31,0.0106590330788804,0.0121082716575606
2017-11-30,-0.0024696969696969,0.0050995725517136
2018-01-31,-0.0043665835411471,-0.0031122194513715
2018-02-28,-0.0010621890547263,0.0104452736318407
2018-04-30,-0.0074889975550122,-0.0057897310513447
2018-05-31,0.0025048780487804,0.0019671651534033
2018-07-31,0.0015913461538461,-0.0015673076923076
2018-08-31,-0.0034497607655502,-0.0037583732057416
2018-10-31,0.0011895734597156,0.0016398104265402
2018-11-30,0.0132117647058823,-0.0111764705882352
2018-12-31,0.0101197183098591,0.0022089201877934
2019-01-31,0.0053372365339578,-0.0006299765807962
2019-02-28,0.0073598130841121,0.0035841121495327
2019-04-30,-0.0063457943925233,0.006411214953271
2019-05-31,0.0104719626168224,0.0012242990654205
2019-07-31,0.006822429906542,-0.0026308411214953
2019-09-30,0.0046915887850467,0.0020864485981308
2019-10-31,-0.0047967289719626,-0.0150233644859813
2019-12-31,-0.0036565420560747,0.0034556074766355
2020-01-31,0.0279906542056074,0.0138691588785046
2020-03-31,0.030233644859813,-0.0168434579439252
2020-04-30,0.0061425233644859,0.0160350467289719
2020-06-30,0.0160911214953271,0.0106565420560747
2020-07-31,0.0094813084112149,-0.0032827102803738
2020-08-31,-0.003572429906542,0.0015280373831775
2020-09-30,-0.027322429906542,-0.0021775700934579
2020-11-30,-0.0100771028037383,0.0034135514018691
2020-12-31,0.0203481308411214,-0.0006542056074766
2021-03-31,0.0062056074766355,0.0162803738317757
2021-04-30,0.002626168224299,-0.0018130841121495
2021-06-30,0.0043878504672897,-0.0002523364485981
2021-08-31,0.0028107476635514,0.0089883177570093
2021-09-30,0.0116448598130841,-0.0028387850467289
2021-11-30,-0.0008995327102803,0.0022990654205607
2021-12-31,0.0211378504672897,-0.0162009345794392
2022-01-31,-0.0177313084112149,-0.0108247663551401
2022-02-28,0.0014018691588785,0.0037172897196261
2022-03-31,-0.0242523364485981,-0.0101121495327102
2022-05-31,-0.00925,-0.002768691588785
2022-06-30,0.0087032710280373,0.0050350467289719
2022-08-31,-0.0228855140186915,-0.0087079439252336
2022-09-30,0.0183107476635514,0.0065420560747663
2022-10-31,0.0082032710280373,0.0068621495327102
2022-11-30,0.0237429906542056,-0.0105233644859813
2023-01-31,-0.0004883177570093,0.0044065420560747
2023-02-28,1.1682242990654346e-05,-0.001161214953271
2023-03-31,0.0031542056074766,0.0041098130841121
2023-05-31,0.0066028037383177,-0.0006705607476635
2023-06-30,0.0065210280373831,-0.0057313084112149
2023-07-31,0.0112266355140186,0.0087780373831775
2023-08-31,-0.0059929906542056,-0.0107780373831775
2023-10-31,0.0054275700934579,-0.0051845794392523
2023-11-30,-0.0074859813084112,-0.005983644859813
